lab_profile,series,organization,created,last_modified,platform
Natural Language Processing,Networking Academy,SecureNet,"January 17, 2022","October 7, 2022",Hyper-V
Database Design and Management,Cloud Mastery Series,CodeCrafters,"April 21, 2023","November 10, 2023",ESX
Networking Concepts,DevOps Essentials,DataMinds,"April 15, 2020","August 31, 2020",Hyper-V
Introduction to Data Science,Cloud Mastery Series,TechNova,"July 4, 2023","July 6, 2023",Hyper-V
Database Design and Management,Foundations of Technology,DataMinds,"April 9, 2022","May 25, 2022",Hyper-V | Azure
Version Control with Git,Networking Academy,NextGen Labs,"February 8, 2020","June 30, 2020",Hyper-V
Web Development with JavaScript,Networking Academy,CodeCrafters,"May 25, 2023","February 1, 2024",ESX
Advanced Python Programming,DevOps Essentials,CodeCrafters,"January 5, 2021","April 16, 2021",ESX
Advanced Python Programming,Mobile Development Series,CodeCrafters,"February 27, 2022","May 19, 2022",ESX
Cloud Computing Basics,Web Development Journey,DevForge,"March 26, 2021","February 13, 2022",ESX | AWS
Machine Learning Fundamentals,Mobile Development Series,TechNova,"March 5, 2022","June 29, 2022",Hyper-V
Building Secure Web Applications,Data Science Bootcamp,DataMinds,"December 30, 2023","January 31, 2024",ESX
Introduction to Data Science,Foundations of Technology,DataMinds,"August 6, 2020","December 10, 2020",ESX
Big Data Analytics,Networking Academy,CodeCrafters,"January 12, 2021","February 19, 2021",ESX
Mobile App Development,Mobile Development Series,CloudSphere,"November 23, 2021","June 17, 2022",ESX
Linux Command Line Basics,Cybersecurity Pathway,TechNova,"September 19, 2022","April 4, 2023",ESX
Natural Language Processing,Advanced Developer Series,CloudSphere,"October 15, 2022","April 9, 2023",ESX
Big Data Analytics,AI and Machine Learning Track,AI Nexus,"January 31, 2023","August 17, 2023",ESX
Database Design and Management,Cloud Mastery Series,CyberCore,"December 22, 2020","December 21, 2021",ESX
Cybersecurity Essentials,Networking Academy,CloudSphere,"May 28, 2023","June 20, 2023",ESX
Data Visualization with Python,AI and Machine Learning Track,CloudSphere,"March 25, 2020","June 4, 2020",ESX
DevOps Practices and Tools,AI and Machine Learning Track,CloudSphere,"December 1, 2020","June 26, 2021",ESX
Networking Concepts,Advanced Developer Series,TechNova,"October 24, 2022","November 8, 2022",ESX
Building Secure Web Applications,Web Development Journey,CodeCrafters,"December 13, 2022","September 20, 2023",Hyper-V
Networking Concepts,Cybersecurity Pathway,CodeCrafters,"November 3, 2022","December 12, 2022",ESX
Advanced Python Programming,Advanced Developer Series,TechNova,"March 3, 2022","December 20, 2022",ESX
Database Design and Management,DevOps Essentials,CyberCore,"March 4, 2023","July 20, 2023",Hyper-V | Azure
AI for Beginners,Data Science Bootcamp,TechNova,"December 31, 2022","May 29, 2023",Hyper-V | Azure
Networking Concepts,Cloud Mastery Series,SecureNet,"November 1, 2021","April 27, 2022",Hyper-V | Azure
Introduction to Data Science,Data Science Bootcamp,AI Nexus,"November 1, 2020","August 4, 2021",ESX
Web Development with JavaScript,AI and Machine Learning Track,CloudSphere,"December 9, 2022","November 4, 2023",ESX
Cloud Computing Basics,Networking Academy,CodeCrafters,"April 3, 2020","February 16, 2021",ESX
Networking Concepts,Advanced Developer Series,AI Nexus,"April 9, 2022","April 10, 2022",ESX
Agile Project Management,DevOps Essentials,CloudSphere,"September 23, 2021","March 12, 2022",ESX
Version Control with Git,Advanced Developer Series,SecureNet,"March 4, 2022","June 3, 2022",ESX
Agile Project Management,Foundations of Technology,SecureNet,"January 25, 2021","April 10, 2021",ESX
Big Data Analytics,Data Science Bootcamp,DevForge,"February 26, 2020","May 22, 2020",ESX
Introduction to Data Science,Cybersecurity Pathway,SecureNet,"June 18, 2022","July 24, 2022",ESX
Blockchain Fundamentals,Mobile Development Series,InnoSoft,"August 30, 2021","December 12, 2021",ESX
Agile Project Management,Cloud Mastery Series,SecureNet,"April 27, 2021","January 23, 2022",ESX
Version Control with Git,Foundations of Technology,CloudSphere,"May 28, 2023","April 22, 2024",ESX
Version Control with Git,Web Development Journey,CloudSphere,"April 20, 2023","September 9, 2023",ESX
Cybersecurity Essentials,Cloud Mastery Series,CyberCore,"May 6, 2021","March 7, 2022",ESX
Linux Command Line Basics,Data Science Bootcamp,CloudSphere,"February 11, 2021","September 17, 2021",ESX
